[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[070]  345- 360 | final=  액체 | state=LIQUID_HOLD | pL= 68.8 | pF= 31.2 | anch_ofs= 61.74/ 62.76 | chg= 64.77 | grad= 0.18 | edge=0.00 | anchor=822.56
[071]  350- 365 | final=  액체 | state=LIQUID_HOLD | pL= 56.0 | pF= 44.0 | anch_ofs= 61.65/ 63.08 | chg= 64.69 | grad= 0.46 | edge=0.00 | anchor=822.56
[072]  355- 370 | final=  액체 | state=LIQUID_HOLD | pL= 68.7 | pF= 31.3 | anch_ofs= 62.39/ 64.20 | chg= 65.43 | grad= 0.46 | edge=0.00 | anchor=822.56
[073]  360- 375 | final=  액체 | state=LIQUID_HOLD | pL= 71.5 | pF= 28.5 | anch_ofs= 63.63/ 65.40 | chg= 66.66 | grad= 0.46 | edge=0.00 | anchor=822.56
[074]  365- 380 | final=  액체 | state=LIQUID_HOLD | pL= 72.4 | pF= 27.6 | anch_ofs= 64.91/ 66.20 | chg= 67.95 | grad= 0.36 | edge=0.00 | anchor=822.56
[075]  370- 385 | final=  액체 | state=LIQUID_HOLD | pL= 82.7 | pF= 17.3 | anch_ofs= 65.01/ 66.20 | chg= 68.04 | grad= 3.36 | edge=0.13 | anchor=822.56
[076]  375- 390 | final=  액체 | state=LIQUID_HOLD | pL= 76.4 | pF= 23.6 | anch_ofs= 56.07/ 66.20 | chg= 59.10 | grad= 9.38 | edge=0.47 | anchor=822.56
[077]  380- 395 | final=  액체 | state=LIQUID_HOLD | pL= 73.3 | pF= 26.7 | anch_ofs= 38.41/ 65.80 | chg= 41.45 | grad= 9.38 | edge=0.60 | anchor=822.56
[078]  385- 400 | final=  액체 | state=LIQUID_HOLD | pL= 63.6 | pF= 36.4 | anch_ofs= 21.41/ 55.00 | chg= 24.45 | grad= 9.38 | edge=0.47 | anchor=822.56
[079]  390- 405 | final=  액체 | state=LIQUID_HOLD | pL= 64.2 | pF= 35.8 | anch_ofs= 13.06/ 15.84 | chg= 16.10 | grad= 2.92 | edge=0.13 | anchor=822.56
[080]  395- 410 | final=  액체 | state=LIQUID_HOLD | pL= 81.1 | pF= 18.9 | anch_ofs= 12.82/ 13.28 | chg= 15.85 | grad= 0.20 | edge=0.00 | anchor=822.56
[081]  400- 415 | final=  액체 | state=LIQUID_HOLD | pL= 66.9 | pF= 33.1 | anch_ofs= 12.70/ 13.20 | chg= 15.74 | grad= 0.18 | edge=0.00 | anchor=822.56
[082]  405- 420 | final=  액체 | state=LIQUID_HOLD | pL= 65.4 | pF= 34.6 | anch_ofs= 12.75/ 13.52 | chg= 15.79 | grad= 0.28 | edge=0.00 | anchor=822.56
[083]  410- 425 | final=  액체 | state=LIQUID_HOLD | pL= 60.4 | pF= 39.6 | anch_ofs= 13.45/ 15.68 | chg= 16.49 | grad= 0.96 | edge=0.00 | anchor=822.56
[084]  415- 430 | final=  액체 | state=LIQUID_HOLD | pL= 57.3 | pF= 42.7 | anch_ofs= 18.86/ 42.52 | chg= 21.90 | grad= 7.72 | edge=0.40 | anchor=822.56
[085]  420- 435 | final=  액체 | state=LIQUID_HOLD | pL= 70.1 | pF= 29.9 | anch_ofs= 33.11/ 59.28 | chg= 36.15 | grad= 7.38 | edge=0.60 | anchor=822.56
